,ingredients,type,portion,calories,fats,carbs,sugars,proteins,vegan,vegetarian,keto,pescatarian 
0,garlic,Vegetable,100 g,143,0.4,28,0,6.6,1,1,1,1
1,onion,Vegetable,160 g,64,0.2,15,6.8,1.8,1,1,1,1
2,bell pepper,Vegetable,85 g,15,0,4,2,1,1,1,1,1
3,carrot,Vegetable,128g,52,0.3,12,6.1,1.2,1,1,1,1
4,tomato,Vegetable,180,32,0.4,7,4.7,1.6,1,1,1,1
5,scallion,Vegetable,100 g ,32,0.2,7.3,2.3,1.8,1,1,1,1
6,potato,Vegetable,38g,22,0,4.7,0,1,1,1,1,1
7,red onion,Vegetable,197 g ,87,0.2,20,0,1.9,1,1,1,1
8,celery,Vegetable,101 g,14,0.2,3,1.4,0.7,1,1,1,1
9,chili pepper,Vegetable,150 g ,51,0.6,2.1,7.1,2.1,1,1,1,1
10,canned tomato,Vegetable,240,91,6.7,8.1,6,1.9,1,1,1,1
11,jalapeno,Vegetable,90,26,0.3,5.9,3.7,0.8,1,1,1,1
12,avocado,Vegetable,230,368,34,20,1.5,4.6,1,1,1,1
13,zucchini,Vegetable,170,58,0.5,13,12,1.7,1,1,1,1
14,shallot,Vegetable,10,7.2,0,1.7,0.8,0.3,1,1,1,1
15,cherry tomato,Vegetable,100,,,,,,1,1,1,1
16,sweet corn,Vegetable,,,,,,,1,1,1,1
17,cucumber,Vegetable,,,,,,,1,1,1,1
18,spinach,Vegetable,,,,,,,1,1,1,1
19,sweet potato,Vegetable,,,,,,,1,1,1,1
20,broccoli,Vegetable,,,,,,,1,1,1,1
21,pumpkin,Vegetable,,,,,,,1,1,1,1
22,baby greens,Vegetable,,,,,,,1,1,1,1
23,cabbage,Vegetable,,,,,,,1,1,1,1
24,cauliflower,Vegetable,,,,,,,1,1,1,1
25,asparagus,Vegetable,,,,,,,1,1,1,1
26,kale,Vegetable,,,,,,,1,1,1,1
27,arugula,Vegetable,,,,,,,1,1,1,1
28,leek,Vegetable,,,,,,,1,1,1,1
29,eggplant,Vegetable,,,,,,,1,1,1,1
30,lettuce,Vegetable,,,,,,,1,1,1,1
31,butternut squash,Vegetable,,,,,,,1,1,1,1
