,TITLE,DESCRIPTION,LINK,INGREDIENTS,DIRECTIONS,MACROS
0,Rustic Onion Tart,"Rustic onion tart with caramelized red onions, Gruyere cheese, and a butter crust.",https://www.simplyrecipes.com/recipes/rustic_onion_tart/,,"Prepare the dough:
If you are making a crust from scratch, prepare the dough and let it chill in the refrigerator while you are cooking the onions.
To prepare the dough, whisk the flour and salt together in a large bowl. Cut the butter into the flour with your hands or with a pastry cutter, until the mixture resembles a coarse meal.
Add the sour cream and use a fork to incorporate it into the dough. Gather the dough into a ball and shape it into a disk. Wrap it with plastic wrap and chill for at least an hour.
Prepare the onions:
Peel and slice the onlions lengthwise from stem to root. (See How to Slice an Onion)
Caramelize the onions:
Heat olive oil and butter in a large, heavy-bottomed sauté pan on medium heat. Once the butter has melted, add the onions and sprinkle a little salt over them.
Cook, stirring occasionally for 10 minutes, until the onions have softened and are translucent.
Elise Bauer
Elise Bauer
Reduce the heat to medium low and cook for an additional 40 minutes, stirring occasionally, until the onions are well browned.
Add balsamic vinegar and cook for 10 minutes more, until onions are completely caramelized. Remove from heat.
Roll out the dough:
Preheat the oven to 450°F. Remove the dough from the refrigerator and let stand for 5 minutes before rolling it out.
Roll out the dough on a lightly floured surface to a 13-inch diameter. Transfer the crust dough to a cookie sheet lined with parchment paper.
Layer the cheese and onions onto the dough:
Place all but a couple tablespoons of the cheese in the center of the dough. Spread to within 1 1/2 inches from the edges. Add the caramelized onions, layering them on top of the cheese. Sprinkle with thyme.
Elise Bauer
Elise Bauer
Pleat the edges:
Fold the edges of the crust dough over so that a small circle of onion is still showing in the centre of the tart. Sprinkle the remaining cheese over the top of the tart.
Elise Bauer
Elise Bauer
Bake:
Place in the oven on the middle rack. Bake for 10 minutes at 450°F. Reduce the heat to 350°F and bake for an additional 20-25 minutes, until the crust is golden brown.
Remove from oven and let sit for 10 minutes before serving.
Elise Bauer;",
1,Pork Stir Fry With Green Onion,"This Pork Stir Fry is such an easy weeknight meal. Made with just lean pork, some green onions, and garlic, and ready in 25 minutes start to finish. Skip the take-out and make your own!",https://www.simplyrecipes.com/recipes/pork_stir_fry_with_green_onion/,"1 pound pork loin or boneless pork chops,2 tablespoons soy sauce (use gluten-free soy sauce if cooking gluten-free),1 teaspoon sugar,1 teaspoon cornstarch,4 tablespoons peanut or canola oil,5 cloves garlic, thinly sliced,8-12 medium scallions, sliced diagonally into 1 to 2-inch pieces, green and white parts included,1/2 teaspoon sesame oil, optional,Cooked rice, to serve,","Prepare the pork:
Pork chops tend to come in thicknesses either around 1/2 inch thick or an inch thick. If you are working with a thick boneless pork chop, start by slicing it into two thin layers, horizontally. If starting with pork loin, cut slices 1/2 inch thick.
Put the slices under some plastic wrap or wax paper and pound them thin with a rubber mallet, meat mallet or even an empty wine bottle. This will help tenderize the meat. The slices should be about 1/4 inch thick.
Cut the pork across the grain into thin strips, about 1 1/2 inches long.
Marinate the pork:
Put the soy sauce, sugar, and cornstarch into a large bowl and whisk to combine. Add the pork strips to the bowl with the marinade and toss to coat completely. Set aside for at least 10 minutes.
Stir fry pork on high heat:
Heat the peanut oil in a wok or large sauté pan on high heat. When the oil is hot (shimmering but not smoking) add the garlic slices and stir-fry until they begin to turn brown at the edges, about 30 seconds.
Add the pork strips and stir-fry until the pork changes color, about 90 seconds, stirring constantly.
Elise Bauer
Elise Bauer
Elise Bauer
Add in green onions and sesame oil:
Add the sliced green onions and continue to stir-fry for another minute, or until the green onions wilt. Turn off the heat and stir in the sesame oil, if using.
Elise Bauer
Serve:
Serve immediately. Serve alone (paleo and low carb), or with rice.;","406
Calories,29g
Fat,6g
Carbs,32g
Protein,"
2,Grits With Corn and Onion Greens,"Savory grits with extra corn and green onion greens, Parmesan cheese, and parsley.",https://www.simplyrecipes.com/recipes/grits_with_corn_and_onion_greens/,"1 tablespoon extra virgin olive oil,1 large white or yellow onion, grated,1 cup whole corn kernels, either frozen or freshly cut from the cob,2 cups whole milk,2 cups water,Salt and freshly ground black pepper,1 cup stone-ground grits or coarse-ground grits,2 tablespoons butter,3/4 cup grated Parmigiano-Reggiano cheese (about 3 ounces),1 tablespoon chopped fresh flat-leaf parsley,1/4 cup chopped fresh green onion greens,","Cook the onion and corn kernels:
Heat the oil in a heavy-bottomed saucepan over medium heat. Add the grated onion and cook, stirring, until transparent, about 2 minutes.
Add the corn kernels and cook, stirring occasionally, until the kernels become soft, about 5 minutes.
Add the milk, water, and 1 teaspoon of the salt:
Bring the mixture to a boil over high heat.
Whisk in the grits, decrease the heat to low, and simmer:
whisking occasionally, until the grits are creamy and thick, 45 to 60 minutes.
Stir in the butter, Parmesan, parsley, and chopped green onions:
Taste and adjust for seasoning with salt and pepper.;","166
Calories,10g
Fat,14g
Carbs,6g
Protein,"
3,"Tomato, Onion, Avocado Salad","Fresh tomato, red onion, and avocado salad, seasoned Italian style with oregano, fresh parsley, garlic, olive oil, wine vinegar, salt and pepper.",https://www.simplyrecipes.com/recipes/tomato_onion_avocado_salad/,"3 to 4 fresh large tomatoes, sliced,Kosher salt,1/2 red onion, thinly sliced,2 avocados, peeled and cut into bite-sized chunks,1/4 cup chopped fresh parsley,1 clove garlic, minced,1 teaspoon crumbled dried oregano, or 1 tablespoon chopped fresh oregano,Red wine vinegar (a good, strong red wine vinegar),Extra virgin olive oil (the best quality),Freshly ground black pepper,","Layer tomatoes, onions, avocado, add parsley, garlic, oregano:
Place a layer of sliced tomatoes on a large serving platter. Sprinkle with salt. Arrange the slivers of thinly sliced red onions and the chunks of avocado over the tomatoes.
Sprinkle with chopped fresh parsley, minced garlic, and crumbled dried oregano.
Dress with red wine vinegar and olive oil, salt and pepper:
Drizzle red wine vinegar and olive oil over the platter. Sprinkle with a little more salt and freshly ground black pepper.
Serve immediately or cover with plastic wrap and let sit at room temp for an hour or two before serving. Do not refrigerate.
Elise Bauer;","37
Calories,2g
Fat,4g
Carbs,1g
Protein,"
4,"Roasted Butternut Squash, Radicchio, and Onion","Butternut squash, radicchio and onion roasted in the oven and tossed with olive oil, toasted pine nuts and grated cheese.",https://www.simplyrecipes.com/recipes/roasted_butternut_squash_radicchio_and_onion/,"1 medium butternut squash (about 2 pounds), peeled and cut into chunks,1 large onion, peeled and cut into wedges through the root,1 head radicchio, cut into wedges through the root,Extra virgin olive oil,Salt and black pepper,1/2 cup pine nuts,1/4 cup parsley, chopped,Grated Parmesan or pecorino cheese to taste, about 1/4 to 1/3 cup,Balsamic vinegar, to taste, about 1 tablespoon,","Roast the vegetables:
Preheat the oven to 400°F. Toss the squash chunks, onion and radicchio wedges in olive oil and salt them well.
Arrange in one layer on baking sheets (you may need two) and put in the oven.
Elise Bauer
Elise Bauer
Roast the vegetables until their edges are nicely caramelized, turning the radicchio and onion wedges over about halfway through the roasting.
The radicchio, onion, and squash will roast at different speeds. So periodically you'll have to remove the finished vegetables and let the others remain in the oven to finish roasting. As a guideline, roast the radicchio for about 25 minutes, turning halfway.
Roast the onions about 35 minutes, again, turning halfway. Roast the squash pieces for 45 minutes, but do not turn.
In all cases do not remove from the oven until you see browning on the edges.
Toast the pine nuts:
While the vegetables are roasting, toast the pine nuts. Heat a small pan on medium high heat. Add the pine nuts in a single layer. Cook until lightly toasted. Remove from heat to a bowl to keep the nuts from burning.
Chop roasted radicchio and onions:
Once all the vegetables are cool enough to handle, roughly chop the radicchio and onion into manageable pieces.
Toss with pine nuts, parsley, balsamic, black pepper:
Place the radicchio, onion, and butternut squash in a large serving bowl. Add the pine nuts and parsley. Add black pepper to taste. Drizzle with balsamic vinegar. Stir gently to combine, taking care not to squish the soft roasted squash.
To serve, sprinkle with some grated Parmesan or pecorino cheese.
Links:
Butternut Squash and Arugula Salad with Warm Balsamic Vinaigrette from Taste Food
Squash, radicchio, and mushroom lasagna from Umami Girl
Elise Bauer;","141
Calories,8g
Fat,16g
Carbs,3g
Protein,"
5,Caramelized Onion Dip,Balsamic caramelized onions mixed with sour cream and mayo for a flavor-filled onion dip.,https://www.simplyrecipes.com/recipes/caramelized_onion_dip/,"2 tablespoons extra virgin olive oil,4 cups chopped yellow onions (from about 2 to 3 onions),1 teaspoon brown sugar,2 tablespoons balsamic vinegar,1/2 teaspoon kosher salt,1/2 teaspoon black pepper,1 cup sour cream,1/2 cup mayonnaise,1/4 teaspoon Worcestershire sauce,1/4 teaspoon garlic powder,","Caramelize the onions:
Heat olive oil in a large, thick-bottomed deep pot (I used a 5-quart Dutch oven) on medium high heat. Add the chopped onions and cook until translucent and starting to color, about 10 minutes.
If at any point during the cooking of the onions they start to dry out, add a tablespoon of water to the pot.
Stir in the brown sugar, balsamic, salt, and pepper. Lower the heat and cook gently, uncovered, for about 25 to 30 minutes, stirring occasionally, until the onions are nicely caramelized.
Then set aside. (You can caramelize the onions up to 2 days ahead and chill until you make the dip.) Let cool a bit before adding to the other ingredients.
Elise Bauer
Elise Bauer
Combine with remaining ingredients:
In a medium bowl, mix together the sour cream and mayonnaise (a rubber spatula works well for this). Stir in the caramelized onions. Sprinkle with garlic salt and stir to incorporate. Stir in the Worcestershire sauce.
Chill until ready to serve. Serve with potato chips.
Links:
Caramelized onion dip with sour cream and Greek yogurt from Heidi of 101 Cookbooks
Caramelized onion dip with cream cheese, sour cream, lemon and chives from Food52
Elise Bauer;","314
Calories,26g
Fat,19g
Carbs,3g
Protein,"
6,How to Chop an Onion,"Here’s the best way to chop an onion safely and easily, plus a video with step-by-step instructions. No tears required!",https://www.simplyrecipes.com/recipes/how_to_chop_an_onion/,"1 onion,","Slice 1/2 inch from stem end, barely slice root end:
Onions have two ends—a stem end, and a root end. Place the onion on a cutting board with the stem end pointing to the side.
Hold the onion firmly with one hand, and with the other hand, cut about 1/2-inch from the top of the stem end of the onion with a sharp chef's knife.
Elise Bauer
Elise Bauer
Then, turn the onion around and make a shallow cut (maybe 1/8-inch) off the root end, cutting off the stringy roots, but leaving the hard root core intact.
Cut onion in half, top to bottom:
Place the onion large-cut side down on the board (with the shallow root cut side on top). With the onion stabilized on the board, position the chef's knife directly over the root end of the onion and cut straight down to cut the onion in half.
Elise Bauer
Place the onion halves cut side down on the board to minimize exposure to the eye-hurting fumes coming from the cut sides of the onion.
Peel back the onion skin:
Peel back the onion skin of one of the onion halves. There is no need to pull it all the way off if it's still attached to the root end.
Elise Bauer
Elise Bauer
Make lengthwise cuts, angled toward center:
Place the onion half large-cut-side down on the cutting board. Make lengthwise cuts into the onion, from root end to stem end, with the knife tip almost all the way to the root end (but not cutting through the root end).
Cut at an angle as you go around the onion, with the blade aimed toward the center of the onion.
Elise Bauer
Elise Bauer
The number of cuts depends on how big a chop or slice size you want, fewer cuts for thick slices or roughly chopped, more cuts for thin slices or finely chopped.
Make cross-wise cuts:
Once you are finished making angled lengthwise cuts, make cross-wise cuts. Hold the onion firmly with your fingers curled so that your knuckles press against the side of the knife as you cut the onion (This protects your fingertips from getting cut.).
As you make cuts from the end of the onion, scoot your hand back, using your knuckles as a guide for the knife.
Elise Bauer
Elise Bauer
Elise Bauer;","41
Calories,0g
Fat,10g
Carbs,1g
Protein,"
7,Extra-Crunchy Onion Rings,"We’ve got the best crunchy, homemade onion rings made simple. Our batter uses cornmeal and buttermilk for an added tangy crunch.",https://www.simplyrecipes.com/recipes/onion_rings/,"2 cups buttermilk, or 1 cup plain yogurt mixed with 1 cup milk,2 1/2 teaspoons kosher salt, divided,2 large yellow onions, peeled, sliced into 1/2-inch-thick ringed slices, rings separated (See How to Slice an Onion),1 1/2 teaspoons freshly ground black pepper, divided,1 1/2 cups all-purpose flour,1/3 cup cornmeal,3 cups frying oil, such as peanut oil, canola oil, or rice bran oil,","Coat the onion rings in seasoned buttermilk:
In a large bowl, stir together the buttermilk (or yogurt and milk) with 1 1/2 teaspoons of the salt and 1 teaspoon of the black pepper.
Stir the onions into the buttermilk mixture and make sure every ring is completely coated in buttermilk. Let sit for 15 to 30 minutes.
Elise Bauer
Combine the flour, cornmeal, salt, and pepper in a separate bowl:
In a separate bowl (large enough to dredge the onion rings), whisk together the flour and cornmeal, and remaining 1 teaspoon of salt and 1/2 teaspoon of pepper, and set aside.
Heat the oil in thick-bottomed pot:
Add 2 to 3 cups of oil to a large (5- to 6-quart), thick-bottomed pot. (Make sure that the pot is absolutely dry on the inside before adding the oil or any residual water will splatter as the oil heats.) Add enough oil to cover the bottom of the pot by 3/4 to 1 inch.
Heat the oil to 375°F. Use a good candy thermometer or instant thermometer (such as a Thermapen) to measure the heat of the oil. You may need to tilt the pan in order to cover the thermometer's sensor completely and get an accurate reading.
Be very careful whenever handling hot oil. No running kids in the kitchen. No distractions. Do not answer the phone if it rings. Pay attention. Have the pan's lid close by.
Test the oil by dropping a small pinch of flour into the hot oil. If the flour sizzles the oil is ready. If it burns, remove the pot from the heat and let the oil cool down a little.
Elise Bauer
Dredge the buttermilk coated onion rings in the flour mixture (twice):
Remove onion rings one at a time out of the buttermilk mixture and dredge them in the flour mixture to coat.
Elise Bauer
If the coating seems a bit thin (it might) or if you want extra crunchy onion rings, dip the onion rings again in the buttermilk mixture and dredge them again in the flour. This double coating will make the onion rings extra crunchy.
Fry in the oil:
Use tongs to place the rings one by one into the hot oil. Fry for a minute on each side, until golden brown.
Elise Bauer
Elise Bauer
When you add the onion rings to the pot, the oil temperature will naturally lower. Adjust the heat so that the temperature of the oil in the pan stays between 350°F and 390°F.
Keep warm in the oven:
Place the fried onion rings on a baking sheet lined with paper towels to absorb the excess oil. Keep the fried onion rings warm in a 200°F oven while you fry the rest of the rings.
Add more oil if needed between batches. Let the oil heat back up to 375°F before starting a new batch.
Serve immediately.
Note: It's best not to pour the leftover oil down the drain. Better to pour into an empty jar and discard with your trash.;","1771
Calories,170g
Fat,56g
Carbs,11g
Protein,"
8,Instant Pot French Onion Soup,"Instant Pot French Onion Soup! French onion soup is comfort food at its finest. Rich, intensely-flavored broth and caramelized onions, topped with crusty, cheese-covered bread is sure to warm anyone on a cold winter’s night. Make this delicious soup in half the time by using your Instant Pot!",https://www.simplyrecipes.com/recipes/instant_pot_french_onion_soup/,"1/4 cup unsalted butter or vegetable oil,2 1/2 to 3 pounds yellow or red onions, halved, peeled, and sliced 1/4-inch thick,1 tablespoon brown sugar,1 1/2 teaspoons kosher salt,1/4 cup dry sherry or vermouth,4 cups low sodium beef broth,1 teaspoon Worcestershire sauce,1/4 teaspoon ground black pepper,1/4 teaspoon dried thyme leaves or 1 teaspoon fresh thyme leaves,1 bay leaf,6 (1-inch thick) slices of a baguette,1 1/4 teaspoons Dijon mustard,1 cup grated Gruyere cheese,Freshly ground black pepper,","Set the cooking time:
Select the high sauté setting on your pressure cooker. If it’s an Instant Pot or similar model, the timer should default to a cooking time of 30 minutes. You will use every minute of this to sauté the onions.
Add the fat and caramelize the onions:
Add the butter or oil to the pressure cooker. Once the butter has melted or the oil shimmers, about 2 minutes, add the onions, sugar, and salt and stir with a wooden spoon, separating the onion layers and coating the slices with the fat.
Cover the pot with a tempered glass lid or other 9-inch pot lid and let the onions cook, without stirring, for 10 minutes.
Coco Morante
Coco Morante
Coco Morante
Uncover the pot and continue cooking the onions:
Uncover the pot. At this point the onions should be softened, but not brown, and there should be some liquid at the bottom of the pot.
While wearing an oven mitt, hold the rim of the inner pot in place, and stir the onions vigorously. Be careful not to splash hot liquid on yourself.
Continue to stir the onions vigorously every 2 minutes, making sure to nudge loose any fond or brown bits from the bottom of the pot as it develops with your spoon. Do this until the sauté cooking program has ended after 30 minutes and the pot turns off automatically.
At this point, the onions should be caramelized and golden brown.
Coco Morante
Deglaze the pot and cook the soup under pressure:
While the pot is off but still hot and the onions are sizzling, add the sherry. Use a wooden spoon to thoroughly scrape any remaining fond from the pot bottom.
Stir in the broth, Worcestershire, thyme, bay leaf, and pepper. Secure the pressure cooker lid in its sealing position, then select the manual setting, and set the time for 5 minutes at high pressure.
(The pot will take about 10 minutes to come up to pressure before the cooking program begins.)
Coco Morante
Coco Morante
Coco Morante
Release the pressure and prepare to serve:
When the cooking program ends, let the pressure release naturally for at least 15 minutes, then move the pressure release valve to ""venting"" to release any remaining steam.
At this point, the soup will stay hot on the “keep warm” setting for up to 10 hours, until you are ready to serve it.
When you are ready to serve the soup, discard the bay leaf. Taste the soup for seasoning, adding salt and/or pepper if needed.
Make the toasts and finish the soup:
Preheat the broiler on your oven and line a baking sheet with aluminum foil. Place broiler-safe serving bowls on the baking sheet, then ladle the soup into the bowls, filling them to about 1/2-inch from the top.
Spread the baguette slices very sparingly with Dijon mustard (1/4 teaspoon per slice), then place the baguette slices on top of the bowls of soup.
Heap a pile of the Gruyere cheese onto each baguette slice. Grind one or two grinds of black pepper on top of each slice. Broil for 3-5 minutes, or until the cheese is bubbly and beginning to brown.
Coco Morante
Coco Morante;","527
Calories,17g
Fat,74g
Carbs,20g
Protein,"
9,French Onion Soup,"Warm, cozy, and flavorful, this French onion soup is prepared with beef stock and caramelized onions. Top with croutons covered in melty Gruyere and Parmesan cheese.",https://www.simplyrecipes.com/recipes/french_onion_soup/,"6 large red or yellow onions (about 3 pounds),4 tablespoons extra virgin olive oil,2 tablespoons butter,1 teaspoon sugar,Kosher salt,2 cloves garlic, minced,8 cups beef stock, chicken stock, or a combination of the two,1/2 cup dry vermouth or dry white wine,2 bay leaves,1 tablespoon fresh thyme leaves, a few sprigs of fresh thyme, OR 1/2 teaspoon dried thyme,1/2 teaspoon freshly ground black pepper,2 tablespoons brandy (optional),8 slices (1 inch thick) French bread or baguette,1 1/2 cups grated Gruyere cheese,Sprinkling grated Parmesan cheese,","Peel and slice the onions:
Peel and thinly slice the onions from root to stem. There should be about 10 cups of sliced onions in total.
How to Slice an Onion (With Video)
READ MORE:
Begin caramelizing the onions with olive oil and butter:
In a 5 to 6 quart thick-bottomed pot, heat 3 tablespoons of olive oil on medium heat. Add the onions and toss to coat with the olive oil.
Cook the onions, stirring often, until they have softened, about 15 to 20 minutes.
Increase the heat to medium high. Add the remaining tablespoon of olive oil and the butter and cook, stirring often, until the onions start to brown, about 20 to 40 minutes. The amount of time will vary depending on your pot, stove, and onions.
Elise Bauer
Sprinkle with the sugar, finish caramelizing, and add garlic:
Sprinkle with sugar (to help with the caramelization) and 1 teaspoon of salt. Continue to cook until the onions are well browned, about 10 to 15 more minutes.
Add the minced garlic and cook for a minute more.
Elise Bauer
Deglaze the pot with vermouth or wine:
Add the wine or vermouth to the pot and scrape up the browned bits on the bottom and sides of the pot, deglazing the pot as you go.
Elise Bauer
Add the stock, bay leaves, and thyme:
Add the stock, bay leaves, and thyme. Bring to a simmer, cover the pot and lower the heat to maintain a low simmer. Cook for about 30 minutes.
Elise Bauer
Elise Bauer
Season and add the brandy:
Season to taste with more salt and add freshly ground black pepper. Discard the bay leaves. Add brandy if using.
Toast the French bread slices:
While the soup is simmering, line a sheet pan with parchment paper or foil and preheat the oven to 450°F with a rack in the upper third of the oven.
Brush both sides of the French bread or baguette slices lightly with olive oil (you'll end up using about a tablespoon and a half of olive oil for this).
Put in the oven and toast until lightly browned, about 5 to 7 minutes. Remove from oven.
Elise Bauer
Elise Bauer
Turn the toasts over and sprinkle with the grated Gruyere cheese and Parmesan. Return to oven when it's close to serving time and bake until the cheese is bubbly and lightly browned.
Serve:
To serve, ladle soup into a bowl and transfer one cheesy toast onto the top of each bowl of soup.
Alternatively, you can use individual oven-proof bowls or one large casserole dish. Ladle the soup into the bowls or casserole dish. Cover with the toast and sprinkle with cheese. Put into the broiler for 10 minutes at 350° F, or until the cheese bubbles and is slightly browned.;","699
Calories,26g
Fat,84g
Carbs,30g
Protein,"
